Gene ID	ERR2619174	ERR2619175	ERR2619176	ERR2619177	ERR2619178	ERR2619179	ERR2619180	ERR2619181	ERR2619182	ERR2619183	ERR2619184	ERR2619185	ERR2619186	ERR2619187	ERR2619188	ERR2619189	ERR2619190	ERR2619191
ENSG00000006282	1140	1311	1358	1238	3204	2919	2175	2082	1550	1552	1064	1146	1949	1928	3191	1647	2038	2008
ENSG00000006283	12	12	5	2	0	4	1	3	68	73	11	13	0	3	0	3	1	1
ENSG00000006327	2915	3112	1152	1092	1885	1856	1564	1688	3651	3494	1645	1576	6279	6618	9473	6535	4662	4897
ENSG00000006377	384	402	319	345	383	333	249	259	176	223	132	126	0	0	3	0	0	0
ENSG00000006432	511	605	612	586	689	644	443	474	622	591	556	539	394	231	506	376	324	305
ENSG00000006451	4220	4705	4110	3829	1872	1697	1503	1348	2014	2048	1708	1727	1177	1581	1842	1553	1752	1432
ENSG00000006453	5850	6467	4473	4166	1647	1535	961	950	4338	3792	3629	4096	3448	2015	4194	2926	2474	2512
ENSG00000006459	661	746	881	826	1411	1195	1722	1582	546	501	851	934	368	442	466	428	488	373
ENSG00000006468	1312	1545	1819	1720	0	1	2	1	530	567	445	525	315	150	356	189	182	141
ENSG00000006530	1300	1389	1157	1203	1375	1421	1092	1015	1444	1458	1724	1547	582	537	692	727	666	723
ENSG00000006534	254	261	167	164	250	248	129	122	131	117	194	180	128	173	160	230	411	236
ENSG00000006555	9	7	10	13	0	2	1	2	97	101	265	283	351	239	270	288	376	304
ENSG00000006576	1772	1994	865	796	799	768	608	563	1115	1220	520	509	165	310	461	324	460	324
ENSG00000006606	0	0	0	0	1	0	2	0	1	1	1	0	0	0	0	1	0	0
ENSG00000006607	1639	1915	1614	1503	1671	1625	1237	1085	1201	1236	1075	1094	1039	783	1215	994	1116	1005
ENSG00000006611	10	2	20	28	0	2	0	0	425	402	558	503	5	33	17	29	78	9
ENSG00000006625	1985	2195	2704	2585	1221	1212	693	683	991	998	1259	1235	539	609	719	634	625	600
ENSG00000006634	1889	2074	1984	1879	1680	1501	1077	1003	2060	2055	1991	1823	99	150	176	180	179	143
ENSG00000006638	15	19	16	13	5	2	5	4	32	40	41	39	8	22	6	18	50	13
ENSG00000006652	4450	4944	3444	3357	2091	1933	1940	1812	3279	3271	2925	2712	584	772	1433	938	1053	767
ENSG00000006659	28	37	2	2	0	0	1	0	4	3	180	234	0	0	0	0	0	0
ENSG00000006695	815	898	871	908	737	711	570	551	689	618	845	847	434	402	669	628	567	622
ENSG00000006704	1197	1276	1030	985	1403	1348	935	874	631	696	692	774	265	166	339	309	339	286
ENSG00000006712	2329	2443	2121	2006	2243	2080	1542	1510	3270	3141	2273	2261	1634	1267	1957	1965	1786	1757
ENSG00000006715	3573	3972	3269	3190	1373	1268	952	932	1157	1061	1202	1210	1596	1790	1810	1911	2173	1884
ENSG00000006740	51	70	54	62	182	194	111	120	33	37	27	25	55	34	55	42	97	36
ENSG00000006744	4780	5219	4822	4712	3311	2900	2174	1823	4448	4460	3471	3100	2337	1648	2769	2678	2431	2713
ENSG00000006747	19	15	9	12	3	10	8	5	8	7	11	6	45	42	8	29	60	16
ENSG00000006756	8	15	10	4	450	473	430	398	335	310	241	252	3875	2137	1735	3482	3113	2042
ENSG00000006757	262	250	275	272	521	534	507	457	366	318	591	507	1570	1057	1025	1599	1372	874
ENSG00000006788	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	2	0	0
ENSG00000006831	7040	7913	7712	7280	5553	5385	4774	4700	7057	6761	4882	5043	14941	8278	12886	10973	9996	9613
ENSG00000006837	19	22	16	9	25	18	23	17	27	27	20	24	7	8	20	25	18	19
ENSG00000007001	1	1	1	2	1	7	3	1	4	2	9	2	48	43	7	31	104	29
ENSG00000007038	0	0	0	0	1	0	1	0	20	13	32	36	0	5	2	27	25	6
ENSG00000007047	3938	4340	2031	2021	1515	1308	1175	1173	841	850	606	729	911	712	1126	702	915	773
ENSG00000007062	12488	13885	5995	5648	674	733	666	571	19357	20186	1791	1812	29	49	46	27	183	33
ENSG00000007080	1982	2229	1848	1884	1530	1402	966	961	2558	2633	2016	1751	1279	1434	1835	1467	1485	1601
ENSG00000007129	0	0	0	0	0	1	0	0	1	1	0	0	0	9	0	10	14	9
ENSG00000007168	5375	5954	4656	4494	3468	3211	2514	2357	5328	5385	4293	4494	4008	3280	5022	4030	4200	3929
ENSG00000007171	0	0	0	0	8	7	4	2	1	1	1	2	11	19	18	25	13	21
ENSG00000007174	1	2	0	0	0	0	0	0	1	0	2	0	3	6	0	4	4	1
ENSG00000007202	7475	8249	9197	8610	6350	5761	4125	3864	6088	6067	4595	4736	4056	3337	5793	4976	4693	4706
ENSG00000007216	9	8	12	4	1	0	1	0	10	3	35	26	18	15	19	23	20	6
ENSG00000007237	5	7	0	1	13	16	5	9	1	1	3	1	68	258	19	344	701	313
ENSG00000007255	233	242	282	256	115	151	166	173	300	322	509	503	603	581	729	706	519	743
ENSG00000007264	2	3	0	1	2	6	2	1	0	0	0	0	32	77	5	193	250	141
ENSG00000007306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007312	0	0	0	0	0	0	0	4	0	0	0	0	19	29	12	2	25	2
ENSG00000007314	1	3	0	0	2	2	0	3	2	3	15	11	12	0	2	0	0	0
ENSG00000007341	354	375	296	268	372	317	266	263	326	289	329	326	231	294	291	244	296	203
ENSG00000007350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007372	43	56	43	44	33	54	20	10	160	151	194	218	48	63	27	36	31	29
ENSG00000007376	529	608	600	554	1336	1068	775	804	742	752	629	562	348	422	433	477	466	295
ENSG00000007384	433	531	164	160	213	183	128	115	711	720	267	328	433	381	567	540	513	383
ENSG00000007392	1306	1594	1280	1121	1328	1166	964	859	1283	1305	668	824	247	665	533	390	630	409
ENSG00000007402	3	4	0	7	4	3	1	0	24	27	35	26	1	8	3	7	5	4
ENSG00000007516	340	339	291	250	137	159	147	137	30	40	43	43	241	234	152	237	266	157
ENSG00000007520	1039	1135	1071	1053	1441	1310	916	856	1188	1138	1044	1047	1286	1182	1651	1238	1141	1089
ENSG00000007541	1003	1205	1003	981	646	616	415	386	571	539	512	568	802	750	864	747	736	836
ENSG00000007545	673	802	646	546	502	490	307	297	415	395	331	375	237	185	241	297	300	235
ENSG00000007866	2016	2112	1755	1763	2055	1957	1418	1405	1117	1211	821	767	383	358	470	477	584	413
ENSG00000007908	0	1	0	0	1	0	0	0	0	0	0	2	14	49	52	38	30	120
ENSG00000007923	1877	2070	1964	1840	3269	3051	2316	2184	1787	1876	1886	1866	1172	999	1251	1302	1173	1337
ENSG00000007933	2	3	2	2	1	2	2	0	1	2	8	3	8459	7747	7351	10078	15354	12035
ENSG00000007944	131	157	199	161	193	159	78	77	542	563	378	340	52	84	48	81	132	61
ENSG00000007952	12	14	8	5	16	10	7	9	23	21	10	12	10	0	5	7	9	16
ENSG00000007968	213	208	165	197	935	891	544	500	245	270	241	246	0	22	2	9	2	25
ENSG00000008018	7422	8444	8268	7653	7928	7387	6627	6406	6820	6636	6056	5563	3809	4395	4689	3797	4160	4026
ENSG00000008056	0	0	0	0	5	1	0	0	36	34	38	46	0	9	2	12	27	12
ENSG00000008083	1324	1404	1576	1506	1106	1088	811	770	635	600	641	649	204	260	209	305	422	253
ENSG00000008086	336	354	192	178	503	429	326	325	723	791	363	453	142	147	231	154	288	193
